language_code,canonical_iso639_3,display_name,mapping_source
bby,bby,Befang,iso639_3
bca,bca,Central Bai,iso639_3
bcb,bcb,Bainouk-Samik,iso639_3
bcc,bcc,Southern Balochi,iso639_3
bcd,bcd,North Babar,iso639_3
bce,bce,Bamenyam,iso639_3
bcf,bcf,Bamu,iso639_3
bcg,bcg,Baga Pokur,iso639_3
bch,bch,Bariai,iso639_3
bci,bci,Baoulé,iso639_3
bcj,bcj,Bardi,iso639_3
bck,bck,Bunuba,iso639_3
bcl,bcl,Central Bikol,iso639_3
bcm,bcm,Bannoni,iso639_3
bcn,bcn,Bali (Nigeria),iso639_3
bco,bco,Kaluli,iso639_3
bcp,bcp,Bali (Democratic Republic of Congo),iso639_3
bcq,bcq,Bench,iso639_3
bcr,bcr,Babine,iso639_3
bcs,bcs,Kohumono,iso639_3
bct,bct,Bendi,iso639_3
bcu,bcu,Awad Bing,iso639_3
bcv,bcv,Shoo-Minda-Nye,iso639_3
bcw,bcw,Bana,iso639_3
bcy,bcy,Bacama,iso639_3
bcz,bcz,Bainouk-Gunyaamolo,iso639_3
bda,bda,Bayot,iso639_3
bdb,bdb,Basap,iso639_3
bdc,bdc,Emberá-Baudó,iso639_3
bdd,bdd,Bunama,iso639_3
bde,bde,Bade,iso639_3
bdf,bdf,Biage,iso639_3
bdg,bdg,Bonggi,iso639_3
bdh,bdh,Baka (South Sudan),iso639_3
bdi,bdi,Burun,iso639_3
bdj,bdj,Bai (South Sudan),iso639_3
bdk,bdk,Budukh,iso639_3
bdl,bdl,Indonesian Bajau,iso639_3
bdm,bdm,Buduma,iso639_3
bdn,bdn,Baldemu,iso639_3
bdo,bdo,Morom,iso639_3
bdp,bdp,Bende,iso639_3
bdq,bdq,Bahnar,iso639_3
bdr,bdr,West Coast Bajau,iso639_3
bds,bds,Burunge,iso639_3
bdt,bdt,Bokoto,iso639_3
bdu,bdu,Oroko,iso639_3
bdv,bdv,Bodo Parja,iso639_3
bdw,bdw,Baham,iso639_3
bdx,bdx,Budong-Budong,iso639_3
bdy,bdy,Bandjalang,iso639_3
bdz,bdz,Badeshi,iso639_3
bea,bea,Beaver,iso639_3
beb,beb,Bebele,iso639_3
bec,bec,Iceve-Maci,iso639_3
bed,bed,Bedoanas,iso639_3
bee,bee,Byangsi,iso639_3
bef,bef,Benabena,iso639_3
beg,beg,Belait,iso639_3
beh,beh,Biali,iso639_3
bei,bei,Bekati',iso639_3
bej,bej,Beja,iso639_3
bek,bek,Bebeli,iso639_3
bel,bel,Belarusian,iso639_3
bem,bem,Bemba (Zambia),iso639_3
ben,ben,Bengali,iso639_3
beo,beo,Beami,iso639_3
bep,bep,Besoa,iso639_3
beq,beq,Beembe,iso639_3
ber,ber,Berber languages,iso639_5_collection
bes,bes,Besme,iso639_3
bet,bet,Guiberoua Béte,iso639_3
beu,beu,Blagar,iso639_3
bev,bev,Daloa Bété,iso639_3
bew,bew,Betawi,iso639_3
bex,bex,Jur Modo,iso639_3
bey,bey,Beli (Papua New Guinea),iso639_3
bez,bez,Bena (Tanzania),iso639_3
bfa,bfa,Bari,iso639_3
bfb,bfb,Pauri Bareli,iso639_3
bfc,bfc,Panyi Bai,iso639_3
bfd,bfd,Bafut,iso639_3
bfe,bfe,Betaf,iso639_3
bff,bff,Bofi,iso639_3
bfg,bfg,Busang Kayan,iso639_3
bfh,bfh,Blafe,iso639_3
bfi,bfi,British Sign Language,iso639_3
bfj,bfj,Bafanji,iso639_3
bfk,bfk,Ban Khor Sign Language,iso639_3
bfl,bfl,Banda-Ndélé,iso639_3
bfm,bfm,Mmen,iso639_3
bfn,bfn,Bunak,iso639_3
bfo,bfo,Malba Birifor,iso639_3
bfp,bfp,Beba,iso639_3
bfq,bfq,Badaga,iso639_3
bfr,bfr,Bazigar,iso639_3
bfs,bfs,Southern Bai,iso639_3
bft,bft,Balti,iso639_3
bfu,bfu,Gahri,iso639_3
bfw,bfw,Bondo,iso639_3
bfx,bfx,Bantayanon,iso639_3
bfy,bfy,Bagheli,iso639_3
bfz,bfz,Mahasu Pahari,iso639_3
bga,bga,Gwamhi-Wuri,iso639_3
bgb,bgb,Bobongko,iso639_3
bgc,bgc,Haryanvi,iso639_3
bgd,bgd,Rathwi Bareli,iso639_3
bge,bge,Bauria,iso639_3
bgf,bgf,Bangandu,iso639_3
bgg,bgg,Bugun,iso639_3
bgi,bgi,Giangan,iso639_3
bgj,bgj,Bangolan,iso639_3
bgk,bgk,Bit,iso639_3
bgl,bgl,Bo (Laos),iso639_3
bgn,bgn,Western Balochi,iso639_3
bgo,bgo,Baga Koga,iso639_3
bgp,bgp,Eastern Balochi,iso639_3
bgq,bgq,Bagri,iso639_3
bgr,bgr,Bawm Chin,iso639_3
bgs,bgs,Tagabawa,iso639_3
bgt,bgt,Bughotu,iso639_3
bgu,bgu,Mbongno,iso639_3
bgv,bgv,Warkay-Bipim,iso639_3
bgw,bgw,Bhatri,iso639_3
bgx,bgx,Balkan Gagauz Turkish,iso639_3
bgy,bgy,Benggoi,iso639_3
bgz,bgz,Banggai,iso639_3
bha,bha,Bharia,iso639_3
bhb,bhb,Bhili,iso639_3
bhc,bhc,Biga,iso639_3
bhd,bhd,Bhadrawahi,iso639_3
bhe,bhe,Bhaya,iso639_3
bhf,bhf,Odiai,iso639_3
bhg,bhg,Binandere,iso639_3
bhh,bhh,Bukharic,iso639_3
bhi,bhi,Bhilali,iso639_3
bhj,bhj,Bahing,iso639_3
bhl,bhl,Bimin,iso639_3
bhm,bhm,Bathari,iso639_3
bhn,bhn,Bohtan Neo-Aramaic,iso639_3
bho,bho,Bhojpuri,iso639_3
bhp,bhp,Bima,iso639_3
bhq,bhq,Tukang Besi South,iso639_3
